Character,Sentence
CAESAR,. Calpurnia!
CAESAR,". Stand you directly in Antonio's way,When he doth run his course. Antonio!"
ANTONY,". Caesar, my lord?"
CAESAR,". Forget not in your speed, Antonio,To touch Calpurnia, for our elders sayThe barren, touched in this holy chase,Shake off their sterile curse."
ANTONY,". I shall remember.When Caesar says ""Do this,"" it is perform'd."
CAESAR,". Set on, and leave no ceremony out.Flourish."
CAESAR,. Ha! Who calls?
CASCA,. Bid every noise be still. Peace yet again!
CAESAR,". Who is it in the press that calls on me?I hear a tongue, shriller than all the music,Cry ""Caesar."" Speak, Caesar is turn'd to hear."
CAESAR,. What man is that?
BRUTUS,. A soothsayer you beware the ides of March.
CAESAR,. Set him before me let me see his face.
CASSIUS,". Fellow, come from the throng; look upon Caesar."
CAESAR,. What say'st thou to me now? Speak once again.
CAESAR,. He is a dreamer; let us leave him. Pass.Sennet. Exeunt all but Brutus and Cassius.
CASSIUS,. Will you go see the order of the course?
BRUTUS,. Not I.
CASSIUS,". I pray you, do."
BRUTUS,". I am not gamesome; I do lack some partOf that quick spirit that is in Antony.Let me not hinder, Cassius, your desires;I'll leave you."
CASSIUS,". Brutus, I do observe you now of late;I have not from your eyes that gentlenessAnd show of love as I was wont to have;You bear too stubborn and too strange a handOver your friend that loves you."
BRUTUS,". Cassius,Be not deceived; if I have veil'd my look,I turn the trouble of my countenanceMerely upon myself. Vexed I amOf late with passions of some difference,Conceptions only proper to myself,Which give some soil perhaps to my behaviors;But let not therefore my good friends be grieved-Among which number, Cassius, be you one-Nor construe any further my neglectThan that poor Brutus with himself at warForgets the shows of love to other men."
CASSIUS,". Then, Brutus, I have much mistook your passion,By means whereof this breast of mine hath buriedThoughts of great value, worthy cogitations.Tell me, good Brutus, can you see your face?"
BRUTUS,". No, Cassius, for the eye sees not itselfBut by reflection, by some other things."
CASSIUS,". 'Tis just,And it is very much lamented, Brutus,That you have no such mirrors as will turnYour hidden worthiness into your eyeThat you might see your shadow. I have heardWhere many of the best respect in Rome,Except immortal Caesar, speaking of BrutusAnd groaning underneath this age's yoke,Have wish'd that noble Brutus had his eyes."
BRUTUS,". Into what dangers would you lead me, Cassius,That you would have me seek into myselfFor that which is not in me?"
CASSIUS,". Therefore, good Brutus, be prepared to hear,And since you know you cannot see yourselfSo well as by reflection, I your glassWill modestly discover to yourselfThat of yourself which you yet know not of.And be not jealous on me, gentle Brutus;Were I a common laugher, or did useTo stale with ordinary oaths my loveTo every new protester, if you knowThat I do fawn on men and hug them hardAnd after scandal them, or if you knowThat I profess myself in banquetingTo all the rout, then hold me dangerous.Flourish and shout."
BRUTUS,. What means this shouting? I do fear the peopleChoose Caesar for their king.
CASSIUS,". Ay, do you fear it?Then must I think you would not have it so."
BRUTUS,". I would not, Cassius, yet I love him well.But wherefore do you hold me here so long?What is it that you would impart to me?If it be aught toward the general good,Set honor in one eye and death i' the otherAnd I will look on both indifferently.For let the gods so speed me as I loveThe name of honor more than I fear death."
CASSIUS,". I know that virtue to be in you, Brutus,As well as I do know your outward favor.Well, honor is the subject of my story.I cannot tell what you and other menThink of this life, but, for my single self,I had as lief not be as live to beIn awe of such a thing as I myself.I was born free as Caesar, so were you;We both have fed as well, and we can bothEndure the winter's cold as well as he.For once, upon a raw and gusty day,The troubled Tiber chafing with her shores,Caesar said to me, ""Darest thou, Cassius, nowLeap in with me into this angry floodAnd swim to yonder point?"" Upon the word,Accoutred as I was, I plunged inAnd bade him follow. So indeed he did.The torrent roar'd, and we did buffet itWith lusty sinews, throwing it asideAnd stemming it with hearts of controversy.But ere we could arrive the point proposed,Caesar cried, ""Help me, Cassius, or I sink!I, as Aeneas our great ancestorDid from the flames of Troy upon his shoulderThe old Anchises bear, so from the waves of TiberDid I the tired Caesar. And this manIs now become a god, and Cassius isA wretched creature and must bend his bodyIf Caesar carelessly but nod on him.He had a fever when he was in Spain,And when the fit was on him I did markHow he did shake. 'Tis true, this god did shake;His coward lips did from their color fly,And that same eye whose bend doth awe the worldDid lose his luster. I did hear him groan.Ay, and that tongue of his that bade the RomansMark him and write his speeches in their books,Alas, it cried, ""Give me some drink, Titinius,""As a sick girl. Ye gods! It doth amaze meA man of such a feeble temper shouldSo get the start of the majestic worldAnd bear the palm alone. Shout.Flourish."
BRUTUS,. Another general shout!I do believe that these applauses areFor some new honors that are heap'd on Caesar.
CASSIUS,". Why, man, he doth bestride the narrow worldLike a Colossus, and we petty menWalk under his huge legs and peep aboutTo find ourselves dishonorable graves.Men at some time are masters of their fates:The fault, dear Brutus, is not in our stars,But in ourselves that we are underlings.Brutus and Caesar: what should be in that ""Caesar""?Why should that name be sounded more than yours?Write them together, yours is as fair a name;Sound them, it doth become the mouth as well;Weigh them, it is as heavy; conjure with 'em,""Brutus"" will start a spirit as soon as ""Caesar.""Now, in the names of all the gods at once,Upon what meat doth this our Caesar feedThat he is grown so great? Age, thou art shamed!Rome, thou hast lost the breed of noble bloods!When went there by an age since the great floodBut it was famed with more than with one man?When could they say till now that talk'd of RomeThat her wide walls encompass'd but one man?Now is it Rome indeed, and room enough,When there is in it but one only man.O, you and I have heard our fathers sayThere was a Brutus once that would have brook'dThe eternal devil to keep his state in RomeAs easily as a king."
BRUTUS,". That you do love me, I am nothing jealous;What you would work me to, I have some aim.How I have thought of this and of these times,I shall recount hereafter; for this present,I would not, so with love I might entreat you,Be any further moved. What you have saidI will consider; what you have to sayI will with patience hear, and find a timeBoth meet to hear and answer such high things.Till then, my noble friend, chew upon this:Brutus had rather be a villagerThan to repute himself a son of RomeUnder these hard conditions as this timeIs like to lay upon us."
CASSIUS,. I am glad that my weak wordsHave struck but thus much show of fire from Brutus.Re-enter Caesar and his Train.
BRUTUS,". The games are done, and Caesar is returning."
CASSIUS,". As they pass by, pluck Casca by the sleeve,And he will, after his sour fashion, tell youWhat hath proceeded worthy note today."
BRUTUS,". I will do so. But, look you, Cassius,The angry spot doth glow on Caesar's brow,And all the rest look like a chidden train:Calpurnia's cheek is pale, and CiceroLooks with such ferret and such fiery eyesAs we have seen him in the Capitol,Being cross'd in conference by some senators."
CASSIUS,. Casca will tell us what the matter is.
CAESAR,. Antonio!
ANTONY,. Caesar?
CAESAR,". Let me have men about me that are fat,Sleek-headed men, and such as sleep o' nights:Yond Cassius has a lean and hungry look;He thinks too much; such men are dangerous."
ANTONY,". Fear him not, Caesar; he's not dangerous;He is a noble Roman and well given."
CAESAR,". Would he were fatter! But I fear him not,Yet if my name were liable to fear,I do not know the man I should avoidSo soon as that spare Cassius. He reads much,He is a great observer, and he looksQuite through the deeds of men. He loves no plays,As thou dost, Antony; he hears no music;Seldom he smiles, and smiles in such a sortAs if he mock'd himself and scorn'd his spiritThat could be moved to smile at anything.Such men as he be never at heart's easeWhiles they behold a greater than themselves,And therefore are they very dangerous.I rather tell thee what is to be fear'dThan what I fear, for always I am Caesar.Come on my right hand, for this ear is deaf,And tell me truly what thou think'st of him.Sennet. Exeunt Caesar and all his Train but Casca."
CASCA,. You pull'd me by the cloak; would you speak with me?
BRUTUS,". Ay, Casca, tell us what hath chanced todayThat Caesar looks so sad."
CASCA,". Why, you were with him, were you not?"
BRUTUS,. I should not then ask Casca what had chanced.
CASCA,". Why, there was a crown offered him, and being offeredhim,he put it by with the back of his hand, thus, and then thepeople fell ashouting."
BRUTUS,. What was the second noise for?
CASCA,". Why, for that too."
CASSIUS,. They shouted thrice. What was the last cry for?
CASCA,". Why, for that too."
BRUTUS,. Was the crown offered him thrice?
CASCA,". Ay, marry, wast, and he put it by thrice, every timegentlerthan other, and at every putting by mine honest neighborsshouted."
CASSIUS,. Who offered him the crown?
CASCA,". Why, Antony."
BRUTUS,". Tell us the manner of it, gentle Casca."
CASCA,". I can as well be hang'd as tell the manner of it. It wasmere foolery; I did not mark it. I saw Mark Antony offer himacrown (yet 'twas not a crown neither, 'twas one of thesecoronets) and, as I told you, he put it by once. But for allthat, to my thinking, he would fain have had it. Then heofferedit to him again; then he put it by again. But, to mythinking, hewas very loath to lay his fingers off it. And then he offereditthe third time; he put it the third time by; and still as herefused it, the rabblement hooted and clapped their choppedhandsand threw up their sweaty nightcaps and uttered such a dealofstinking breath because Caesar refused the crown that it hadalmost choked Caesar, for he swounded and fell down at it.Andfor mine own part, I durst not laugh for fear of opening mylipsand receiving the bad air."
CASSIUS,". But, soft, I pray you, what, did Caesars wound?"
CASCA,. He fell down in the marketplace and foamed at mouth andwasspeechless.
BRUTUS,. 'Tis very like. He hath the falling sickness.
CASSIUS,". No, Caesar hath it not, but you, and I,And honest Casca, we have the falling sickness."
CASCA,". I know not what you mean by that, but I am sure Caesarfelldown. If the tagrag people did not clap him and hiss himaccording as he pleased and displeased them, as they use todothe players in the theatre, I am no true man."
BRUTUS,. What said he when he came unto himself?
CASCA,". Marry, before he fell down, when he perceived the commonherd was glad he refused the crown, he plucked me ope hisdoubletand offered them his throat to cut. An had been a man of anyoccupation, if I would not have taken him at a word, I wouldImight go to hell among the rogues. And so he fell. When hecameto himself again, he said, if he had done or said anythingamiss,he desired their worships to think it was his infirmity.Three orfour wenches where I stood cried, ""Alas, good soul!"" andforgavehim with all their hearts. But there's no heed to be taken ofthem; if Caesar had stabbed their mothers, they would havedoneno less."
BRUTUS,". And after that he came, thus sad, away?"
CASCA,. Ay.
CASSIUS,. Did Cicero say anything?
CASCA,". Ay, he spoke Greek."
CASSIUS,. To what effect?
CASCA,". Nay, an I tell you that, I'll ne'er look you i' the faceagain; but those that understood him smiled at one anotherandshook their heads; but for mine own part, it was Greek to me.Icould tell you more news too: Marullus and Flavius, forpullingscarfs off Caesar's images, are put to silence. Fare youwell.There was more foolery yet, if could remember it."
CASSIUS,". Will you sup with me tonight, Casca?"
CASCA,". No, I am promised forth."
CASSIUS,. Will you dine with me tomorrow?
CASCA,". Ay, if I be alive, and your mind hold, and your dinnerworththe eating."
CASSIUS,". Good, I will expect you."
CASCA,". Do so, farewell, both.Exit."
BRUTUS,. What a blunt fellow is this grown to be!He was quick mettle when he went to school.
CASSIUS,". So is he now in executionOf any bold or noble enterprise,However he puts on this tardy form.This rudeness is a sauce to his good wit,Which gives men stomach to digest his wordsWith better appetite."
BRUTUS,". And so it is. For this time I will leave you.Tomorrow, if you please to speak with me,I will come home to you, or, if you will,Come home to me and I will wait for you."
CASSIUS,". I will do so. Till then, think of the world.Exit Brutus.Well, Brutus, thou art noble; yet, I seeThy honorable mettle may be wroughtFrom that it is disposed; therefore it is meetThat noble minds keep ever with their likes;For who so firm that cannot be seduced?Caesar doth bear me hard, but he loves Brutus.If I were Brutus now and he were Cassius,He should not humor me. I will this night,In several hands, in at his windows throw,As if they came from several citizens,Writings, all tending to the great opinionThat Rome holds of his name, wherein obscurelyCaesar's ambition shall be glanced at.And after this let Caesar seat him sure;For we will shake him, or worse days endure.Exit."
CASCA,". Are not you moved, when all the sway of earthShakes like a thing unfirm? O Cicero,I have seen tempests when the scolding windsHave rived the knotty oaks, and I have seenThe ambitious ocean swell and rage and foamTo be exalted with the threatening clouds,But never till tonight, never till now,Did I go through a tempest dropping fire.Either there is a civil strife in heaven,Or else the world too saucy with the godsIncenses them to send destruction."
CASCA,". A common slave- you know him well by sight-Held up his left hand, which did flame and burnLike twenty torches join'd, and yet his handNot sensible of fire remain'd unscorch'd.Besides- I ha' not since put up my sword-Against the Capitol I met a lion,Who glaz'd upon me and went surly byWithout annoying me. And there were drawnUpon a heap a hundred ghastly womenTransformed with their fear, who swore they sawMen all in fire walk up and down the streets.And yesterday the bird of night did sitEven at noonday upon the marketplace,Howling and shrieking. When these prodigiesDo so conjointly meet, let not men say""These are their reasons; they are natural"":For I believe they are portentous thingsUnto the climate that they point upon."
CASCA,". He doth, for he did bid AntonioSend word to you he would be there tomorrow."
CASCA,". Farewell, Cicero.Exit Cicero.Enter Cassius."
CASSIUS,. Who's there?
CASCA,. A Roman.
CASSIUS,". Casca, by your voice."
CASCA,". Your ear is good. Cassius, what night is this!"
CASSIUS,. A very pleasing night to honest men.
CASCA,. Who ever knew the heavens menace so?
CASSIUS,". Those that have known the earth so full of faults.For my part, I have walk'd about the streets,Submitting me unto the perilous night,And thus unbraced, Casca, as you see,Have bared my bosom to the thunderstone;And when the cross blue lightning seem'd to openThe breast of heaven, I did present myselfEven in the aim and very flash of it."
CASCA,. But wherefore did you so much tempt the heavens?It is the part of men to fear and trembleWhen the most mighty gods by tokens sendSuch dreadful heralds to astonish us.
CASSIUS,". You are dull, Casca, and those sparks of lifeThat should be in a Roman you do want,Or else you use not. You look pale and gazeAnd put on fear and cast yourself in wonderTo see the strange impatience of the heavens.But if you would consider the true causeWhy all these fires, why all these gliding ghosts,Why birds and beasts from quality and kind,Why old men, fools, and children calculate,Why all these things change from their ordinance,Their natures, and preformed facultiesTo monstrous quality, why, you shall findThat heaven hath infused them with these spiritsTo make them instruments of fear and warningUnto some monstrous state.Now could I, Casca, name to thee a manMost like this dreadful night,That thunders, lightens, opens graves, and roarsAs doth the lion in the Capitol,A man no mightier than thyself or meIn personal action, yet prodigious grownAnd fearful, as these strange eruptions are."
CASCA,". 'Tis Caesar that you mean, is it not, Cassius?"
CASSIUS,". Let it be who it is, for Romans nowHave thews and limbs like to their ancestors.But, woe the while! Our fathers' minds are dead,And we are govern'd with our mothers' spirits;Our yoke and sufferance show us womanish."
CASCA,". Indeed they say the senators tomorrowMean to establish Caesar as a king,And he shall wear his crown by sea and landIn every place save here in Italy."
CASSIUS,". I know where I will wear this dagger then:Cassius from bondage will deliver Cassius.Therein, ye gods, you make the weak most strong;Therein, ye gods, you tyrants do defeat.Nor stony tower, nor walls of beaten brass,Nor airless dungeon, nor strong links of ironCan be retentive to the strength of spirit;But life, being weary of these worldly bars,Never lacks power to dismiss itself.If I know this, know all the world besides,That part of tyranny that I do bearI can shake off at pleasure.Thunder still."
CASCA,. So can I.So every bondman in his own hand bearsThe power to cancel his captivity.
CASSIUS,". And why should Caesar be a tyrant then?Poor man! I know he would not be a wolfBut that he sees the Romans are but sheep.He were no lion, were not Romans hinds.Those that with haste will make a mighty fireBegin it with weak straws. What trash is Rome,What rubbish, and what offal, when it servesFor the base matter to illuminateSo vile a thing as Caesar? But, O grief,Where hast thou led me? I perhaps speak thisBefore a willing bondman; then I knowMy answer must be made. But I am arm'd,And dangers are to me indifferent."
CASCA,". You speak to Casca, and to such a manThat is no fleering tell-tale. Hold, my hand.Be factious for redress of all these griefs,And I will set this foot of mine as farAs who goes farthest."
CASSIUS,". There's a bargain made.Now know you, Casca, I have moved alreadySome certain of the noblest-minded RomansTo undergo with me an enterpriseOf honorable-dangerous consequence;And I do know by this, they stay for meIn Pompey's Porch. For now, this fearful night,There is no stir or walking in the streets,And the complexion of the elementIn favor's like the work we have in hand,Most bloody, fiery, and most terrible.Enter Cinna."
CASCA,". Stand close awhile, for here comes one in haste."
CASSIUS,". 'Tis Cinna, I do know him by his gait;He is a friend. Cinna, where haste you so?"
CASSIUS,". No, it is Casca, one incorporateTo our attempts. Am I not stay'd for, Cinna?"
CASSIUS,. Am I not stay'd for? Tell me.
CASSIUS,". Be you content. Good Cinna, take this paper,And look you lay it in the praetor's chair,Where Brutus may but find it; and throw thisIn at his window; set this up with waxUpon old Brutus' statue. All this done,Repair to Pompey's Porch, where you shall find us.Is Decius Brutus and Trebonius there?"
CASSIUS,". That done, repair to Pompey's Theatre.Exit Cinna.Come, Casca, you and I will yet ere daySee Brutus at his house. Three parts of himIs ours already, and the man entireUpon the next encounter yields him ours."
CASCA,". O, he sits high in all the people's hearts,And that which would appear offense in us,His countenance, like richest alchemy,Will change to virtue and to worthiness."
CASSIUS,". Him and his worth and our great need of himYou have right well conceited. Let us go,For it is after midnight, and ere dayWe will awake him and be sure of him.Exeunt.<<"
BRUTUS,". What, Lucius, ho!I cannot, by the progress of the stars,Give guess how near to day. Lucius, I say!I would it were my fault to sleep so soundly.When, Lucius, when? Awake, I say! What, Lucius!Enter Lucius."
BRUTUS,". Get me a taper in my study, Lucius.When it is lighted, come and call me here."
BRUTUS,". It must be by his death, and, for my part,I know no personal cause to spurn at him,But for the general. He would be crown'd:How that might change his nature, there's the question.It is the bright day that brings forth the adderAnd that craves wary walking. Crown him that,And then, I grant, we put a sting in himThat at his will he may do danger with.The abuse of greatness is when it disjoinsRemorse from power, and, to speak truth of Caesar,I have not known when his affections sway'dMore than his reason. But 'tis a common proofThat lowliness is young ambition's ladder,Whereto the climber-upward turns his face;But when he once attains the upmost round,He then unto the ladder turns his back,Looks in the clouds, scorning the base degreesBy which he did ascend. So Caesar may;Then, lest he may, prevent. And, since the quarrelWill bear no color for the thing he is,Fashion it thus, that what he is, augmented,Would run to these and these extremities;And therefore think him as a serpent's eggWhich hatch'd would as his kind grow mischievous,And kill him in the shell.Re-enter Lucius."
BRUTUS,". Get you to bed again, it is not day.Is not tomorrow, boy, the ides of March?"
BRUTUS,. Look in the calendar and bring me word.
BRUTUS,". The exhalations whizzing in the airGive so much light that I may read by them.Opens the letter and reads.""Brutus, thou sleep'st: awake and see thyself!Shall Rome, etc. Speak, strike, redress!""""Brutus, thou sleep'st: awake!""Such instigations have been often dropp'dWhere I have took them up.""Shall Rome, etc."" Thus must I piece it out.Shall Rome stand under one man's awe? What, Rome?My ancestors did from the streets of RomeThe Tarquin drive, when he was call'd a king.""Speak, strike, redress!"" Am I entreatedTo speak and strike? O Rome, I make thee promise,If the redress will follow, thou receivestThy full petition at the hand of Brutus!Re-enter Lucius."
BRUTUS,". 'Tis good. Go to the gate, somebody knocks.Exit Lucius.Since Cassius first did whet me against CaesarI have not slept.Between the acting of a dreadful thingAnd the first motion, all the interim isLike a phantasma or a hideous dream;The genius and the mortal instrumentsAre then in council, and the state of man,Like to a little kingdom, suffers thenThe nature of an insurrection.Re-enter Lucius."
BRUTUS,. Is he alone?
BRUTUS,. Do you know them?
BRUTUS,". Let 'em enter.Exit Lucius.They are the faction. O Conspiracy,Shamest thou to show thy dangerous brow by night,When evils are most free? O, then, by dayWhere wilt thou find a cavern dark enoughTo mask thy monstrous visage? Seek none, Conspiracy;Hide it in smiles and affability;For if thou path, thy native semblance on,Not Erebus itself were dim enoughTo hide thee from prevention.Enter the conspirators, Cassius, Casca, Decius, Cinna,Metellus Cimber, and Trebonius."
CASSIUS,". I think we are too bold upon your rest.Good morrow, Brutus, do we trouble you?"
BRUTUS,". I have been up this hour, awake all night.Know I these men that come along with you?"
CASSIUS,". Yes, every man of them, and no man hereBut honors you, and every one doth wishYou had but that opinion of yourselfWhich every noble Roman bears of you.This is Trebonius."
BRUTUS,. He is welcome hither.
CASSIUS,". This, Decius Brutus."
BRUTUS,. He is welcome too.
CASSIUS,". This, Casca; this, Cinna; and this, Metellus Cimber."
BRUTUS,. They are all welcome.What watchful cares do interpose themselvesBetwixt your eyes and night?
CASSIUS,. Shall I entreat a word?They whisper.
CASCA,. No.
CASCA,". You shall confess that you are both deceived.Here, as I point my sword, the sun arises,Which is a great way growing on the south,Weighing the youthful season of the year.Some two months hence up higher toward the northHe first presents his fire, and the high eastStands as the Capitol, directly here."
BRUTUS,". Give me your hands all over, one by one."
CASSIUS,. And let us swear our resolution.
BRUTUS,". No, not an oath. If not the face of men,The sufferance of our souls, the time's abuse-If these be motives weak, break off betimes,And every man hence to his idle bed;So let high-sighted tyranny range onTill each man drop by lottery. But if these,As I am sure they do, bear fire enoughTo kindle cowards and to steel with valorThe melting spirits of women, then, countrymen,What need we any spur but our own causeTo prick us to redress? What other bondThan secret Romans that have spoke the wordAnd will not palter? And what other oathThan honesty to honesty engagedThat this shall be or we will fall for it?Swear priests and cowards and men cautelous,Old feeble carrions and such suffering soulsThat welcome wrongs; unto bad causes swearSuch creatures as men doubt; but do not stainThe even virtue of our enterprise,Nor the insuppressive mettle of our spirits,To think that or our cause or our performanceDid need an oath; when every drop of bloodThat every Roman bears, and nobly bears,Is guilty of a several bastardyIf he do break the smallest particleOf any promise that hath pass'd from him."
CASSIUS,. But what of Cicero? Shall we sound him?I think he will stand very strong with us.
CASCA,. Let us not leave him out.
BRUTUS,". O, name him not; let us not break with him,For he will never follow anythingThat other men begin."
CASSIUS,. Then leave him out.
CASCA,. Indeed he is not fit.
CASSIUS,". Decius, well urged. I think it is not meetMark Antony, so well beloved of Caesar,Should outlive Caesar. We shall find of himA shrewd contriver; and you know his means,If he improve them, may well stretch so farAs to annoy us all, which to prevent,Let Antony and Caesar fall together."
BRUTUS,". Our course will seem too bloody, Caius Cassius,To cut the head off and then hack the limbsLike wrath in death and envy afterwards;For Antony is but a limb of Caesar.Let us be sacrificers, but not butchers, Caius.We all stand up against the spirit of Caesar,And in the spirit of men there is no blood.O, that we then could come by Caesar's spirit,And not dismember Caesar! But, alas,Caesar must bleed for it! And, gentle friends,Let's kill him boldly, but not wrathfully;Let's carve him as a dish fit for the gods,Not hew him as a carcass fit for hounds;And let our hearts, as subtle masters do,Stir up their servants to an act of rageAnd after seem to chide 'em. This shall makeOur purpose necessary and not envious,Which so appearing to the common eyes,We shall be call'd purgers, not murderers.And for Mark Antony, think not of him,For he can do no more than Caesar's armWhen Caesar's head is off."
CASSIUS,". Yet I fear him,For in the ingrated love he bears to Caesar-"
BRUTUS,". Alas, good Cassius, do not think of him.If he love Caesar, all that he can doIs to himself, take thought and die for Caesar.And that were much he should, for he is givenTo sports, to wildness, and much company."
BRUTUS,". Peace, count the clock."
CASSIUS,. The clock hath stricken three.
CASSIUS,". But it is doubtful yetWhether Caesar will come forth today or no,For he is superstitious grown of late,Quite from the main opinion he held onceOf fantasy, of dreams, and ceremonies.It may be these apparent prodigies,The unaccustom'd terror of this night,And the persuasion of his augurersMay hold him from the Capitol today."
CASSIUS,". Nay, we will all of us be there to fetch him."
BRUTUS,. By the eighth hour. Is that the utter most?
BRUTUS,". Now, good Metellus, go along by him.He loves me well, and I have given him reasons;Send him but hither, and I'll fashion him."
CASSIUS,". The morning comes upon 's. We'll leave you, Brutus,And, friends, disperse yourselves, but all rememberWhat you have said and show yourselves true Romans."
BRUTUS,". Good gentlemen, look fresh and merrily;Let not our looks put on our purposes,But bear it as our Roman actors do,With untired spirits and formal constancy.And so, good morrow to you every one.Exeunt all but Brutus.Boy! Lucius! Fast asleep? It is no matter.Enjoy the honey-heavy dew of slumber;Thou hast no figures nor no fantasies,Which busy care draws in the brains of men;Therefore thou sleep'st so sound.Enter Portia."
BRUTUS,". Portia, what mean you? Wherefore rise you now?It is not for your health thus to commitYour weak condition to the raw cold morning."
BRUTUS,". I am not well in health, and that is all."
BRUTUS,". Why, so I do. Good Portia, go to bed."
BRUTUS,". Kneel not, gentle Portia."
BRUTUS,". You are my true and honorable wife,As dear to me as are the ruddy dropsThat visit my sad heart."
BRUTUS,". O ye gods,Render me worthy of this noble wife! Knocking within.Hark, hark, one knocks. Portia, go in awhile,And by and by thy bosom shall partakeThe secrets of my heart.All my engagements I will construe to thee,All the charactery of my sad brows.Leave me with haste. [Exit Portia.] Lucius, who's thatknocks?Re-enter Lucius with Ligarius."
BRUTUS,". Caius Ligarius, that Metellus spake of.Boy, stand aside. Caius Ligarius, how?"
BRUTUS,". O, what a time have you chose out, brave Caius,To wear a kerchief! Would you were not sick!"
BRUTUS,". Such an exploit have I in hand, Ligarius,Had you a healthful ear to hear of it."
BRUTUS,. A piece of work that will make sick men whole.
BRUTUS,". That must we also. What it is, my Caius,I shall unfold to thee, as we are goingTo whom it must be done."
BRUTUS,. Follow me then.Exeunt.
CAESAR,". Nor heaven nor earth have been at peace tonight.Thrice hath Calpurnia in her sleep cried out,""Help, ho! They murther Caesar!"" Who's within?Enter a Servant."
CAESAR,". Go bid the priests do present sacrifice,And bring me their opinions of success."
CAESAR,". Caesar shall forth: the things that threaten'd meNe'er look'd but on my back; when they shall seeThe face of Caesar, they are vanished."
CAESAR,". What can be avoidedWhose end is purposed by the mighty gods?Yet Caesar shall go forth, for these predictionsAre to the world in general as to Caesar."
CAESAR,". Cowards die many times before their deaths;The valiant never taste of death but once.Of all the wonders that I yet have heard,It seems to me most strange that men should fearSeeing that death, a necessary end,Will come when it will come.Re-enter Servant.What say the augurers?"
CAESAR,". The gods do this in shame of cowardice.Caesar should be a beast without a heartIf he should stay at home today for fear.No, Caesar shall not. Danger knows full wellThat Caesar is more dangerous than he.We are two lions litter'd in one day,And I the elder and more terrible.And Caesar shall go forth."
CAESAR,". Mark Antony shall say I am not well,And, for thy humor, I will stay at home.Enter Decius.Here's Decius Brutus, he shall tell them so."
CAESAR,". And you are come in very happy timeTo bear my greeting to the senatorsAnd tell them that I will not come today.Cannot, is false, and that I dare not, falser:I will not come today. Tell them so, Decius."
CAESAR,". Shall Caesar send a lie?Have I in conquest stretch'd mine arm so farTo be afeard to tell greybeards the truth?Decius, go tell them Caesar will not come."
CAESAR,". The cause is in my will: I will not come,That is enough to satisfy the Senate.But, for your private satisfaction,Because I love you, I will let you know.Calpurnia here, my wife, stays me at home;She dreamt tonight she saw my statue,Which, like a fountain with an hundred spouts,Did run pure blood, and many lusty RomansCame smiling and did bathe their hands in it.And these does she apply for warnings and portentsAnd evils imminent, and on her kneeHath begg'd that I will stay at home today."
CAESAR,. And this way have you well expounded it.
CAESAR,". How foolish do your fears seem now, Calpurnia!I am ashamed I did yield to them.Give me my robe, for I will go.Enter Publius, Brutus, Ligarius, Metellus, Casca,Trebonius, and Cinna.And look where Publius is come to fetch me."
