Character,Sentence,Sentiment,Valence_Score,Emotions
CASSIUS,". I know that virtue to be in you, Brutus,As well as I do know your outward favor.Well, honor is the subject of my story.I cannot tell what you and other menThink of this life, but, for my single self,I had as lief not be as live to beIn awe of such a thing as I myself.I was born free as Caesar, so were you;We both have fed as well, and we can bothEndure the winter's cold as well as he.For once, upon a raw and gusty day,The troubled Tiber chafing with her shores,Caesar said to me, ""Darest thou, Cassius, nowLeap in with me into this angry floodAnd swim to yonder point?"" Upon the word,Accoutred as I was, I plunged inAnd bade him follow. So indeed he did.The torrent roar'd, and we did buffet itWith lusty sinews, throwing it asideAnd stemming it with hearts of controversy.But ere we could arrive the point proposed,Caesar cried, ""Help me, Cassius, or I sink!I, as Aeneas our great ancestorDid from the flames of Troy upon his shoulderThe old Anchises bear, so from the waves of TiberDid I the tired Caesar. And this manIs now become a god, and Cassius isA wretched creature and must bend his bodyIf Caesar carelessly but nod on him.He had a fever when he was in Spain,And when the fit was on him I did markHow he did shake. 'Tis true, this god did shake;His coward lips did from their color fly,And that same eye whose bend doth awe the worldDid lose his luster. I did hear him groan.Ay, and that tongue of his that bade the RomansMark him and write his speeches in their books,Alas, it cried, ""Give me some drink, Titinius,""As a sick girl. Ye gods! It doth amaze meA man of such a feeble temper shouldSo get the start of the majestic worldAnd bear the palm alone. Shout.Flourish.",negative,-0.08383691308691309,negative
BRUTUS,. Another general shout!I do believe that these applauses areFor some new honors that are heap'd on Caesar.,positive,0.04659090909090909,"anger, trust, surprise, positive"
CASSIUS,". Why, man, he doth bestride the narrow worldLike a Colossus, and we petty menWalk under his huge legs and peep aboutTo find ourselves dishonorable graves.Men at some time are masters of their fates:The fault, dear Brutus, is not in our stars,But in ourselves that we are underlings.Brutus and Caesar: what should be in that ""Caesar""?Why should that name be sounded more than yours?Write them together, yours is as fair a name;Sound them, it doth become the mouth as well;Weigh them, it is as heavy; conjure with 'em,""Brutus"" will start a spirit as soon as ""Caesar.""Now, in the names of all the gods at once,Upon what meat doth this our Caesar feedThat he is grown so great? Age, thou art shamed!Rome, thou hast lost the breed of noble bloods!When went there by an age since the great floodBut it was famed with more than with one man?When could they say till now that talk'd of RomeThat her wide walls encompass'd but one man?Now is it Rome indeed, and room enough,When there is in it but one only man.O, you and I have heard our fathers sayThere was a Brutus once that would have brook'dThe eternal devil to keep his state in RomeAs easily as a king.",positive,0.35305555555555557,positive
BRUTUS,". That you do love me, I am nothing jealous;What you would work me to, I have some aim.How I have thought of this and of these times,I shall recount hereafter; for this present,I would not, so with love I might entreat you,Be any further moved. What you have saidI will consider; what you have to sayI will with patience hear, and find a timeBoth meet to hear and answer such high things.Till then, my noble friend, chew upon this:Brutus had rather be a villagerThan to repute himself a son of RomeUnder these hard conditions as this timeIs like to lay upon us.",positive,0.15013888888888888,positive
CASSIUS,. I am glad that my weak wordsHave struck but thus much show of fire from Brutus.Re-enter Caesar and his Train.,positive,0.05416666666666667,"fear, trust, positive, joy, anticipation"
BRUTUS,". The games are done, and Caesar is returning.",neutral,0.0,
CASSIUS,". As they pass by, pluck Casca by the sleeve,And he will, after his sour fashion, tell youWhat hath proceeded worthy note today.",positive,0.04583333333333332,"trust, positive, negative, disgust"
BRUTUS,". I will do so. But, look you, Cassius,The angry spot doth glow on Caesar's brow,And all the rest look like a chidden train:Calpurnia's cheek is pale, and CiceroLooks with such ferret and such fiery eyesAs we have seen him in the Capitol,Being cross'd in conference by some senators.",negative,-0.04733333333333333,"anger, positive, negative"
CASSIUS,. Casca will tell us what the matter is.,neutral,0.0,
CAESAR,. Antonio!,neutral,0.0,
ANTONY,. Caesar?,neutral,0.0,
CAESAR,". Let me have men about me that are fat,Sleek-headed men, and such as sleep o' nights:Yond Cassius has a lean and hungry look;He thinks too much; such men are dangerous.",negative,-0.09999999999999999,negative
ANTONY,". Fear him not, Caesar; he's not dangerous;He is a noble Roman and well given.",positive,0.3,"fear, trust, positive, negative"
CAESAR,". Would he were fatter! But I fear him not,Yet if my name were liable to fear,I do not know the man I should avoidSo soon as that spare Cassius. He reads much,He is a great observer, and he looksQuite through the deeds of men. He loves no plays,As thou dost, Antony; he hears no music;Seldom he smiles, and smiles in such a sortAs if he mock'd himself and scorn'd his spiritThat could be moved to smile at anything.Such men as he be never at heart's easeWhiles they behold a greater than themselves,And therefore are they very dangerous.I rather tell thee what is to be fear'dThan what I fear, for always I am Caesar.Come on my right hand, for this ear is deaf,And tell me truly what thou think'st of him.Sennet. Exeunt Caesar and all his Train but Casca.",positive,0.15952380952380954,negative
CASCA,. You pull'd me by the cloak; would you speak with me?,neutral,0.0,positive
BRUTUS,". Ay, Casca, tell us what hath chanced todayThat Caesar looks so sad.",negative,-0.25,
CASCA,". Why, you were with him, were you not?",neutral,0.0,
BRUTUS,. I should not then ask Casca what had chanced.,neutral,0.0,
CASCA,". Why, there was a crown offered him, and being offeredhim,he put it by with the back of his hand, thus, and then thepeople fell ashouting.",neutral,0.0,"negative, sadness"
BRUTUS,. What was the second noise for?,neutral,0.0,negative
CASCA,". Why, for that too.",neutral,0.0,
CASSIUS,. They shouted thrice. What was the last cry for?,neutral,0.0,"negative, sadness"
CASCA,". Why, for that too.",neutral,0.0,
BRUTUS,. Was the crown offered him thrice?,neutral,0.0,
CASCA,". Ay, marry, wast, and he put it by thrice, every timegentlerthan other, and at every putting by mine honest neighborsshouted.",positive,0.11875,"fear, trust, positive, joy"
CASSIUS,. Who offered him the crown?,neutral,0.0,
CASCA,". Why, Antony.",neutral,0.0,
BRUTUS,". Tell us the manner of it, gentle Casca.",positive,0.1,
CASCA,". I can as well be hang'd as tell the manner of it. It wasmere foolery; I did not mark it. I saw Mark Antony offer himacrown (yet 'twas not a crown neither, 'twas one of thesecoronets) and, as I told you, he put it by once. But for allthat, to my thinking, he would fain have had it. Then heofferedit to him again; then he put it by again. But, to mythinking, hewas very loath to lay his fingers off it. And then he offereditthe third time; he put it the third time by; and still as herefused it, the rabblement hooted and clapped their choppedhandsand threw up their sweaty nightcaps and uttered such a dealofstinking breath because Caesar refused the crown that it hadalmost choked Caesar, for he swounded and fell down at it.Andfor mine own part, I durst not laugh for fear of opening mylipsand receiving the bad air.",positive,0.01775793650793651,negative
CASSIUS,". But, soft, I pray you, what, did Caesars wound?",positive,0.05,fear
CASCA,. He fell down in the marketplace and foamed at mouth andwasspeechless.,negative,-0.07777777777777779,"surprise, negative, sadness"
BRUTUS,. 'Tis very like. He hath the falling sickness.,positive,0.06666666666666667,"negative, sadness"
CASSIUS,". No, Caesar hath it not, but you, and I,And honest Casca, we have the falling sickness.",positive,0.3,sadness
CASCA,". I know not what you mean by that, but I am sure Caesarfelldown. If the tagrag people did not clap him and hiss himaccording as he pleased and displeased them, as they use todothe players in the theatre, I am no true man.",positive,0.08541666666666665,"positive, joy"
BRUTUS,. What said he when he came unto himself?,neutral,0.0,
CASCA,". Marry, before he fell down, when he perceived the commonherd was glad he refused the crown, he plucked me ope hisdoubletand offered them his throat to cut. An had been a man of anyoccupation, if I would not have taken him at a word, I wouldImight go to hell among the rogues. And so he fell. When hecameto himself again, he said, if he had done or said anythingamiss,he desired their worships to think it was his infirmity.Three orfour wenches where I stood cried, ""Alas, good soul!"" andforgavehim with all their hearts. But there's no heed to be taken ofthem; if Caesar had stabbed their mothers, they would havedoneno less.",positive,0.034722222222222224,"negative, sadness"
BRUTUS,". And after that he came, thus sad, away?",negative,-0.25,
CASCA,. Ay.,neutral,0.0,
CASSIUS,. Did Cicero say anything?,neutral,0.0,
CASCA,". Ay, he spoke Greek.",neutral,0.0,negative
CASSIUS,. To what effect?,neutral,0.0,
CASCA,". Nay, an I tell you that, I'll ne'er look you i' the faceagain; but those that understood him smiled at one anotherandshook their heads; but for mine own part, it was Greek to me.Icould tell you more news too: Marullus and Flavius, forpullingscarfs off Caesar's images, are put to silence. Fare youwell.There was more foolery yet, if could remember it.",positive,0.30833333333333335,
CASSIUS,". Will you sup with me tonight, Casca?",neutral,0.0,
CASCA,". No, I am promised forth.",neutral,0.0,
CASSIUS,. Will you dine with me tomorrow?,neutral,0.0,anticipation
CASCA,". Ay, if I be alive, and your mind hold, and your dinnerworththe eating.",positive,0.05,"trust, positive, joy, anticipation"
CASSIUS,". Good, I will expect you.",positive,0.35,"trust, surprise, positive, anticipation"
CASCA,". Do so, farewell, both.Exit.",neutral,0.0,
BRUTUS,. What a blunt fellow is this grown to be!He was quick mettle when he went to school.,positive,0.16666666666666666,"trust, positive"
CASSIUS,". So is he now in executionOf any bold or noble enterprise,However he puts on this tardy form.This rudeness is a sauce to his good wit,Which gives men stomach to digest his wordsWith better appetite.",positive,0.26666666666666666,positive
BRUTUS,". And so it is. For this time I will leave you.Tomorrow, if you please to speak with me,I will come home to you, or, if you will,Come home to me and I will wait for you.",neutral,0.0,"negative, anticipation"
CASSIUS,". I will do so. Till then, think of the world.Exit Brutus.Well, Brutus, thou art noble; yet, I seeThy honorable mettle may be wroughtFrom that it is disposed; therefore it is meetThat noble minds keep ever with their likes;For who so firm that cannot be seduced?Caesar doth bear me hard, but he loves Brutus.If I were Brutus now and he were Cassius,He should not humor me. I will this night,In several hands, in at his windows throw,As if they came from several citizens,Writings, all tending to the great opinionThat Rome holds of his name, wherein obscurelyCaesar's ambition shall be glanced at.And after this let Caesar seat him sure;For we will shake him, or worse days endure.Exit.",positive,0.06927083333333334,positive
CASCA,". Are not you moved, when all the sway of earthShakes like a thing unfirm? O Cicero,I have seen tempests when the scolding windsHave rived the knotty oaks, and I have seenThe ambitious ocean swell and rage and foamTo be exalted with the threatening clouds,But never till tonight, never till now,Did I go through a tempest dropping fire.Either there is a civil strife in heaven,Or else the world too saucy with the godsIncenses them to send destruction.",positive,0.08333333333333333,"anger, negative"
CASCA,". A common slave- you know him well by sight-Held up his left hand, which did flame and burnLike twenty torches join'd, and yet his handNot sensible of fire remain'd unscorch'd.Besides- I ha' not since put up my sword-Against the Capitol I met a lion,Who glaz'd upon me and went surly byWithout annoying me. And there were drawnUpon a heap a hundred ghastly womenTransformed with their fear, who swore they sawMen all in fire walk up and down the streets.And yesterday the bird of night did sitEven at noonday upon the marketplace,Howling and shrieking. When these prodigiesDo so conjointly meet, let not men say""These are their reasons; they are natural"":For I believe they are portentous thingsUnto the climate that they point upon.",negative,-0.10555555555555557,fear
CASCA,". He doth, for he did bid AntonioSend word to you he would be there tomorrow.",neutral,0.0,"trust, positive, anticipation"
CASCA,". Farewell, Cicero.Exit Cicero.Enter Cassius.",neutral,0.0,
CASSIUS,. Who's there?,neutral,0.0,
CASCA,. A Roman.,neutral,0.0,
CASSIUS,". Casca, by your voice.",neutral,0.0,
CASCA,". Your ear is good. Cassius, what night is this!",positive,0.2333333333333333,"trust, surprise, positive, joy, anticipation"
CASSIUS,. A very pleasing night to honest men.,positive,0.2,"fear, anger, trust, positive, sadness, disgust, joy"
CASCA,. Who ever knew the heavens menace so?,neutral,0.0,"fear, anger, trust, positive, negative, joy"
CASSIUS,". Those that have known the earth so full of faults.For my part, I have walk'd about the streets,Submitting me unto the perilous night,And thus unbraced, Casca, as you see,Have bared my bosom to the thunderstone;And when the cross blue lightning seem'd to openThe breast of heaven, I did present myselfEven in the aim and very flash of it.",positive,0.05500000000000001,"fear, sadness"
CASCA,. But wherefore did you so much tempt the heavens?It is the part of men to fear and trembleWhen the most mighty gods by tokens sendSuch dreadful heralds to astonish us.,positive,0.012500000000000011,"fear, anger"
CASSIUS,". You are dull, Casca, and those sparks of lifeThat should be in a Roman you do want,Or else you use not. You look pale and gazeAnd put on fear and cast yourself in wonderTo see the strange impatience of the heavens.But if you would consider the true causeWhy all these fires, why all these gliding ghosts,Why birds and beasts from quality and kind,Why old men, fools, and children calculate,Why all these things change from their ordinance,Their natures, and preformed facultiesTo monstrous quality, why, you shall findThat heaven hath infused them with these spiritsTo make them instruments of fear and warningUnto some monstrous state.Now could I, Casca, name to thee a manMost like this dreadful night,That thunders, lightens, opens graves, and roarsAs doth the lion in the Capitol,A man no mightier than thyself or meIn personal action, yet prodigious grownAnd fearful, as these strange eruptions are.",negative,-0.1587037037037037,"fear, negative"
CASCA,". 'Tis Caesar that you mean, is it not, Cassius?",negative,-0.15625,
CASSIUS,". Let it be who it is, for Romans nowHave thews and limbs like to their ancestors.But, woe the while! Our fathers' minds are dead,And we are govern'd with our mothers' spirits;Our yoke and sufferance show us womanish.",neutral,0.0,"trust, positive"
CASCA,". Indeed they say the senators tomorrowMean to establish Caesar as a king,And he shall wear his crown by sea and landIn every place save here in Italy.",neutral,0.0,"trust, positive"
CASSIUS,". I know where I will wear this dagger then:Cassius from bondage will deliver Cassius.Therein, ye gods, you make the weak most strong;Therein, ye gods, you tyrants do defeat.Nor stony tower, nor walls of beaten brass,Nor airless dungeon, nor strong links of ironCan be retentive to the strength of spirit;But life, being weary of these worldly bars,Never lacks power to dismiss itself.If I know this, know all the world besides,That part of tyranny that I do bearI can shake off at pleasure.Thunder still.",positive,0.09305555555555556,negative
CASCA,. So can I.So every bondman in his own hand bearsThe power to cancel his captivity.,positive,0.3,"negative, sadness"
CASSIUS,". And why should Caesar be a tyrant then?Poor man! I know he would not be a wolfBut that he sees the Romans are but sheep.He were no lion, were not Romans hinds.Those that with haste will make a mighty fireBegin it with weak straws. What trash is Rome,What rubbish, and what offal, when it servesFor the base matter to illuminateSo vile a thing as Caesar? But, O grief,Where hast thou led me? I perhaps speak thisBefore a willing bondman; then I knowMy answer must be made. But I am arm'd,And dangers are to me indifferent.",negative,-0.0767857142857143,negative
CASCA,". You speak to Casca, and to such a manThat is no fleering tell-tale. Hold, my hand.Be factious for redress of all these griefs,And I will set this foot of mine as farAs who goes farthest.",neutral,0.0,positive
CASSIUS,". There's a bargain made.Now know you, Casca, I have moved alreadySome certain of the noblest-minded RomansTo undergo with me an enterpriseOf honorable-dangerous consequence;And I do know by this, they stay for meIn Pompey's Porch. For now, this fearful night,There is no stir or walking in the streets,And the complexion of the elementIn favor's like the work we have in hand,Most bloody, fiery, and most terrible.Enter Cinna.",negative,-0.061904761904761935,"fear, negative, sadness"
CASCA,". Stand close awhile, for here comes one in haste.",neutral,0.0,anticipation
CASSIUS,". 'Tis Cinna, I do know him by his gait;He is a friend. Cinna, where haste you so?",neutral,0.0,"trust, positive, joy, anticipation"
CASSIUS,". No, it is Casca, one incorporateTo our attempts. Am I not stay'd for, Cinna?",neutral,0.0,
CASSIUS,. Am I not stay'd for? Tell me.,neutral,0.0,
CASSIUS,". Be you content. Good Cinna, take this paper,And look you lay it in the praetor's chair,Where Brutus may but find it; and throw thisIn at his window; set this up with waxUpon old Brutus' statue. All this done,Repair to Pompey's Porch, where you shall find us.Is Decius Brutus and Trebonius there?",positive,0.09999999999999999,positive
CASSIUS,". That done, repair to Pompey's Theatre.Exit Cinna.Come, Casca, you and I will yet ere daySee Brutus at his house. Three parts of himIs ours already, and the man entireUpon the next encounter yields him ours.",neutral,0.0,
CASCA,". O, he sits high in all the people's hearts,And that which would appear offense in us,His countenance, like richest alchemy,Will change to virtue and to worthiness.",positive,0.08,fear
CASSIUS,". Him and his worth and our great need of himYou have right well conceited. Let us go,For it is after midnight, and ere dayWe will awake him and be sure of him.Exeunt.<<",positive,0.3206349206349206,"positive, negative"
BRUTUS,". What, Lucius, ho!I cannot, by the progress of the stars,Give guess how near to day. Lucius, I say!I would it were my fault to sleep so soundly.When, Lucius, when? Awake, I say! What, Lucius!Enter Lucius.",positive,0.02,"surprise, positive, negative, sadness, joy, anticipation"
BRUTUS,". Get me a taper in my study, Lucius.When it is lighted, come and call me here.",neutral,0.0,positive
BRUTUS,". It must be by his death, and, for my part,I know no personal cause to spurn at him,But for the general. He would be crown'd:How that might change his nature, there's the question.It is the bright day that brings forth the adderAnd that craves wary walking. Crown him that,And then, I grant, we put a sting in himThat at his will he may do danger with.The abuse of greatness is when it disjoinsRemorse from power, and, to speak truth of Caesar,I have not known when his affections sway'dMore than his reason. But 'tis a common proofThat lowliness is young ambition's ladder,Whereto the climber-upward turns his face;But when he once attains the upmost round,He then unto the ladder turns his back,Looks in the clouds, scorning the base degreesBy which he did ascend. So Caesar may;Then, lest he may, prevent. And, since the quarrelWill bear no color for the thing he is,Fashion it thus, that what he is, augmented,Would run to these and these extremities;And therefore think him as a serpent's eggWhich hatch'd would as his kind grow mischievous,And kill him in the shell.Re-enter Lucius.",positive,0.05595238095238096,fear
BRUTUS,". Get you to bed again, it is not day.Is not tomorrow, boy, the ides of March?",neutral,0.0,"negative, disgust, anticipation"
BRUTUS,. Look in the calendar and bring me word.,neutral,0.0,"trust, positive"
BRUTUS,". The exhalations whizzing in the airGive so much light that I may read by them.Opens the letter and reads.""Brutus, thou sleep'st: awake and see thyself!Shall Rome, etc. Speak, strike, redress!""""Brutus, thou sleep'st: awake!""Such instigations have been often dropp'dWhere I have took them up.""Shall Rome, etc."" Thus must I piece it out.Shall Rome stand under one man's awe? What, Rome?My ancestors did from the streets of RomeThe Tarquin drive, when he was call'd a king.""Speak, strike, redress!"" Am I entreatedTo speak and strike? O Rome, I make thee promise,If the redress will follow, thou receivestThy full petition at the hand of Brutus!Re-enter Lucius.",positive,0.0625,positive
BRUTUS,". 'Tis good. Go to the gate, somebody knocks.Exit Lucius.Since Cassius first did whet me against CaesarI have not slept.Between the acting of a dreadful thingAnd the first motion, all the interim isLike a phantasma or a hideous dream;The genius and the mortal instrumentsAre then in council, and the state of man,Like to a little kingdom, suffers thenThe nature of an insurrection.Re-enter Lucius.",positive,0.16180555555555554,anticipation
BRUTUS,. Is he alone?,neutral,0.0,
BRUTUS,. Do you know them?,neutral,0.0,
BRUTUS,". Let 'em enter.Exit Lucius.They are the faction. O Conspiracy,Shamest thou to show thy dangerous brow by night,When evils are most free? O, then, by dayWhere wilt thou find a cavern dark enoughTo mask thy monstrous visage? Seek none, Conspiracy;Hide it in smiles and affability;For if thou path, thy native semblance on,Not Erebus itself were dim enoughTo hide thee from prevention.Enter the conspirators, Cassius, Casca, Decius, Cinna,Metellus Cimber, and Trebonius.",positive,0.010000000000000005,fear
CASSIUS,". I think we are too bold upon your rest.Good morrow, Brutus, do we trouble you?",positive,0.033333333333333326,"positive, anticipation"
BRUTUS,". I have been up this hour, awake all night.Know I these men that come along with you?",neutral,0.0,
CASSIUS,". Yes, every man of them, and no man hereBut honors you, and every one doth wishYou had but that opinion of yourselfWhich every noble Roman bears of you.This is Trebonius.",positive,0.3,"trust, positive"
BRUTUS,. He is welcome hither.,positive,0.4,
CASSIUS,". This, Decius Brutus.",neutral,0.0,
BRUTUS,. He is welcome too.,positive,0.4,
CASSIUS,". This, Casca; this, Cinna; and this, Metellus Cimber.",neutral,0.0,
BRUTUS,. They are all welcome.What watchful cares do interpose themselvesBetwixt your eyes and night?,neutral,0.0,"trust, positive"
CASSIUS,. Shall I entreat a word?They whisper.,neutral,0.0,"trust, positive"
CASCA,. No.,neutral,0.0,
CASCA,". You shall confess that you are both deceived.Here, as I point my sword, the sun arises,Which is a great way growing on the south,Weighing the youthful season of the year.Some two months hence up higher toward the northHe first presents his fire, and the high eastStands as the Capitol, directly here.",positive,0.156,"trust, positive"
BRUTUS,". Give me your hands all over, one by one.",neutral,0.0,
CASSIUS,. And let us swear our resolution.,neutral,0.0,"trust, positive"
BRUTUS,". No, not an oath. If not the face of men,The sufferance of our souls, the time's abuse-If these be motives weak, break off betimes,And every man hence to his idle bed;So let high-sighted tyranny range onTill each man drop by lottery. But if these,As I am sure they do, bear fire enoughTo kindle cowards and to steel with valorThe melting spirits of women, then, countrymen,What need we any spur but our own causeTo prick us to redress? What other bondThan secret Romans that have spoke the wordAnd will not palter? And what other oathThan honesty to honesty engagedThat this shall be or we will fall for it?Swear priests and cowards and men cautelous,Old feeble carrions and such suffering soulsThat welcome wrongs; unto bad causes swearSuch creatures as men doubt; but do not stainThe even virtue of our enterprise,Nor the insuppressive mettle of our spirits,To think that or our cause or our performanceDid need an oath; when every drop of bloodThat every Roman bears, and nobly bears,Is guilty of a several bastardyIf he do break the smallest particleOf any promise that hath pass'd from him.",negative,-0.02343749999999999,positive
CASSIUS,. But what of Cicero? Shall we sound him?I think he will stand very strong with us.,positive,0.16055555555555556,
CASCA,. Let us not leave him out.,neutral,0.0,"surprise, negative, sadness"
BRUTUS,". O, name him not; let us not break with him,For he will never follow anythingThat other men begin.",negative,-0.0625,surprise
CASSIUS,. Then leave him out.,neutral,0.0,"surprise, negative, sadness"
CASCA,. Indeed he is not fit.,negative,-0.1,
CASSIUS,". Decius, well urged. I think it is not meetMark Antony, so well beloved of Caesar,Should outlive Caesar. We shall find of himA shrewd contriver; and you know his means,If he improve them, may well stretch so farAs to annoy us all, which to prevent,Let Antony and Caesar fall together.",positive,0.175,"positive, negative"
